pdb_code,protein,family,species,preferred_chain,resolution,publication_date,type,state,distance,publication,ligands,signalling_protein
7C7S,gabr2_human,004_002_001_003,Homo sapiens,B,2.9,2020-07-01,Electron microscopy,Inactive,2.13,https://dx.doi.org/10.1038/S41422-020-0350-5,"[{'name': 'CGP54626', 'type': 'small molecule', 'function': 'Antagonist'}]",
5UNH,agtr2_human,001_002_001_002,Homo sapiens,B,2.9,2017-04-05,X-ray diffraction,Active,9.17,https://dx.doi.org/10.1038/NATURE22035,"[{'name': ""N-[(Furan-2-Yl)methyl]-N-(4-Oxo-2-Propyl-3-{[2'-(2h-Tetrazol-5-Yl)[1,1'-Biphenyl]-4-Yl]methyl}-3,4-Dihydroquinazolin-6-Yl)benzamide"", 'type': 'small molecule', 'function': 'Antagonist'}]",
6X19,glp1r_human,002_001_003_003,Homo sapiens,R,2.1,2020-09-09,Electron microscopy,Active,7.14,https://dx.doi.org/10.1101/2020.08.16.252585,"[{'name': 'CHU-128', 'type': 'small molecule', 'function': 'Agonist'}]","{'type': 'G protein', 'data': {'entity1': {'entry_name': 'gnas2_human', 'chain': 'A'}, 'entity2': {'entry_name': 'gbb1_human', 'chain': 'B'}, 'entity3': {'entry_name': 'gbg2_human', 'chain': 'G'}}}"
6OIK,acm2_human,001_001_002_002,Homo sapiens,R,3.6,2019-05-08,Electron microscopy,Active,8.54,https://dx.doi.org/10.1126/SCIENCE.AAW5188,"[{'name': 'Iperoxo', 'type': 'small molecule', 'function': 'Agonist'}, {'name': '2CU', 'type': 'small molecule', 'function': 'PAM'}]","{'type': 'G protein', 'data': {'entity1': {'entry_name': 'gnao_human', 'chain': 'A'}, 'entity2': {'entry_name': 'gbb1_human', 'chain': 'B'}, 'entity3': {'entry_name': 'gbg2_human', 'chain': 'G'}}}"
7EZH,cckar_human,001_002_005_001,Homo sapiens,D,3.2,2021-08-25,Electron microscopy,Active,8.02,,"[{'name': 'Cholecystokinin-8', 'type': 'peptide', 'function': 'Agonist'}]","{'type': 'G protein', 'data': {'entity1': {'entry_name': 'gnai1_human', 'chain': 'A'}, 'entity2': {'entry_name': 'gbb1_human', 'chain': 'B'}, 'entity3': {'entry_name': 'gbg2_human', 'chain': 'G'}}}"
7F16,pth2r_human,002_001_004_002,Homo sapiens,R,2.8,2021-08-18,Electron microscopy,Active,7.37,https://dx.doi.org/10.1073/PNAS.2101279118,"[{'name': 'TIP39', 'type': 'peptide', 'function': 'Agonist'}]","{'type': 'G protein', 'data': {'entity1': {'entry_name': 'gnas2_human', 'chain': 'A'}, 'entity2': {'entry_name': 'gbb1_rat', 'chain': 'B'}, 'entity3': {'entry_name': 'gbg2_bovin', 'chain': 'G'}}}"
6WPW,glr_human,002_001_003_005,Homo sapiens,R,3.1,2020-08-12,Electron microscopy,Active,6.82,https://dx.doi.org/10.1126/SCIENCE.ABA3373,"[{'name': 'Glucagon derivative ZP3780', 'type': 'peptide', 'function': 'Agonist'}]","{'type': 'G protein', 'data': {'entity1': {'entry_name': 'gnas2_human', 'chain': 'C'}, 'entity2': {'entry_name': 'gbb1_human', 'chain': 'D'}, 'entity3': {'entry_name': 'gbg2_human', 'chain': 'G'}}}"
6WZG,sctr_human,002_001_003_006,Homo sapiens,R,2.3,2020-08-12,Electron microscopy,Active,6.43,https://dx.doi.org/10.1038/S41467-020-17791-4,"[{'name': 'secretin', 'type': 'peptide', 'function': 'Agonist'}]","{'type': 'G protein', 'data': {'entity1': {'entry_name': 'gnas2_human', 'chain': 'A'}, 'entity2': {'entry_name': 'gbb1_human', 'chain': 'B'}, 'entity3': {'entry_name': 'gbg2_human', 'chain': 'G'}}}"
6XBK,smo_human,006_001_001_011,Homo sapiens,R,3.24,2020-09-30,Electron microscopy,Active,5.64,https://dx.doi.org/10.1038/S41589-020-0646-2,"[{'name': 'Cholesterol', 'type': 'N/A', 'function': 'Agonist'}]","{'type': 'G protein', 'data': {'entity1': {'entry_name': 'gnai1_human', 'chain': 'A'}, 'entity2': {'entry_name': 'gbb1_human', 'chain': 'B'}, 'entity3': {'entry_name': 'gbg2_human', 'chain': 'G'}}}"
5XRA,cnr1_human,001_004_005_001,Homo sapiens,A,2.8,2017-07-12,X-ray diffraction,Active,7.95,https://dx.doi.org/10.1038/NATURE23272,"[{'name': 'AM11542', 'type': 'small molecule', 'function': 'Agonist'}]",
6P9Y,pacr_human,002_001_005_001,Homo sapiens,R,3.01,2020-02-05,Electron microscopy,Active,6.58,https://dx.doi.org/10.1016/J.MOLCEL.2020.01.012,"[{'name': 'PACAP', 'type': 'peptide', 'function': 'Agonist'}]","{'type': 'G protein', 'data': {'entity1': {'entry_name': 'gnas2_human', 'chain': 'A'}, 'entity2': {'entry_name': 'gbb1_human', 'chain': 'B'}, 'entity3': {'entry_name': 'gbg2_human', 'chain': 'G'}}}"
7KI1,glp1r_human,002_001_003_003,Homo sapiens,R,2.5,2021-08-04,Electron microscopy,Active,7.17,https://dx.doi.org/10.1016/J.CELREP.2021.109374,"[{'name': 'Taspoglutide', 'type': 'peptide', 'function': 'Agonist'}]","{'type': 'G protein', 'data': {'entity1': {'entry_name': 'gnas2_human', 'chain': 'A'}, 'entity2': {'entry_name': 'gbb1_human', 'chain': 'B'}, 'entity3': {'entry_name': 'gbg2_human', 'chain': 'G'}}}"
4OR2,grm1_human,004_002_002_001,Homo sapiens,B,2.8,2014-03-19,X-ray diffraction,Inactive,4.0,https://dx.doi.org/10.1126/SCIENCE.1249489,"[{'name': 'FITM', 'type': 'small molecule', 'function': 'NAM'}]",
7EPB,grm2_human,004_002_002_002,Homo sapiens,B,3.1,2021-06-23,Electron microscopy,Inactive,3.16,https://dx.doi.org/10.1038/S41586-021-03641-W,"[{'name': 'Eglumetad', 'type': 'small molecule', 'function': 'Agonist'}]",
6PGS,opsd_bovin,001_009_001_001,Bos taurus,A,2.91,2020-07-01,X-ray diffraction,Active,8.04,,"[{'name': 'Geraniol', 'type': 'small molecule', 'function': 'unknown'}]",
7KI0,glp1r_human,002_001_003_003,Homo sapiens,R,2.5,2021-08-04,Electron microscopy,Active,7.23,https://dx.doi.org/10.1016/J.CELREP.2021.109374,"[{'name': 'Semaglutide', 'type': 'peptide', 'function': 'Agonist'}]","{'type': 'G protein', 'data': {'entity1': {'entry_name': 'gnas2_human', 'chain': 'A'}, 'entity2': {'entry_name': 'gbb1_human', 'chain': 'B'}, 'entity3': {'entry_name': 'gbg2_human', 'chain': 'G'}}}"
6W2X,gabr2_human,004_002_001_003,Homo sapiens,B,3.6,2020-07-01,Electron microscopy,Inactive,1.49,https://dx.doi.org/10.1038/S41586-020-2469-4,"[{'name': 'CGP55845', 'type': 'small molecule', 'function': 'Inverse agonist'}, {'name': '1-Stearoyl-2-oleoyl-sn-glycero-3-phosphoethanolamine', 'type': 'small molecule', 'function': 'NAM'}]",
2R4R,adrb2_human,001_001_003_008,Homo sapiens,A,3.4,2007-11-06,X-ray diffraction,Inactive,-2.8,https://dx.doi.org/10.1038/NATURE06325,[],
7CUM,gabr2_human,004_002_001_003,Homo sapiens,B,3.52,2020-11-11,Electron microscopy,Inactive,2.3,https://dx.doi.org/10.1016/J.JMB.2020.09.023,"[{'name': 'Unknown ligand', 'type': 'none', 'function': 'NAM'}, {'name': 'CGP54626', 'type': 'small molecule', 'function': 'Antagonist'}]",
5CGC,grm5_human,004_002_002_005,Homo sapiens,A,3.1,2015-08-12,X-ray diffraction,Inactive,4.25,https://dx.doi.org/10.1021/ACS.JMEDCHEM.5B00892,"[{'name': 'Q27455391', 'type': 'small molecule', 'function': 'NAM'}]",
5VEX,glp1r_human,002_001_003_003,Homo sapiens,B,3.0,2017-05-17,X-ray diffraction,Inactive,-5.05,https://dx.doi.org/10.1038/NATURE22378,"[{'name': 'NNC0640', 'type': 'small molecule', 'function': 'NAM'}]",
6WH4,5ht2a_human,001_001_001_006,Homo sapiens,C,3.4,2020-09-23,X-ray diffraction,Inactive,-0.53,https://dx.doi.org/10.1016/J.CELL.2020.08.024,"[{'name': 'CHEMBL428892', 'type': 'small molecule', 'function': 'Inverse agonist'}]",
7AD3,ste2_yeast,005_001_001_001,Saccharomyces cerevisiae,A,3.5,2020-12-09,Electron microscopy,Active,,https://dx.doi.org/10.1038/S41586-020-2994-1,"[{'name': 'Alpha-factor mating pheromone', 'type': 'peptide', 'function': 'Agonist'}]","{'type': 'G protein', 'data': {'entity1': {'entry_name': 'gpa1_yeast', 'chain': 'E'}, 'entity2': {'entry_name': 'a0a6a5q727_yeasx', 'chain': 'F'}, 'entity3': {'entry_name': 'a0a6a5pt44_yeasx', 'chain': 'G'}}}"
7DUQ,glp1r_human,002_001_003_003,Homo sapiens,R,2.5,2021-07-14,Electron microscopy,Active,7.13,https://dx.doi.org/10.1038/S41467-021-24058-Z,"[{'name': 'Glucagon-like peptide 1', 'type': 'peptide', 'function': 'Agonist'}, {'name': 'N-Tert-butyl-6,7-dichloroquinoxalin-2-amine', 'type': 'small molecule', 'function': 'Ago-PAM'}]","{'type': 'G protein', 'data': {'entity1': {'entry_name': 'gnas2_human', 'chain': 'A'}, 'entity2': {'entry_name': 'gbb1_rat', 'chain': 'B'}, 'entity3': {'entry_name': 'gbg2_bovin', 'chain': 'G'}}}"
3OE6,cxcr4_human,001_003_002_014,Homo sapiens,A,3.2,2010-10-27,X-ray diffraction,Inactive,-1.33,https://dx.doi.org/10.1126/SCIENCE.1194396,"[{'name': 'IT1t', 'type': 'small molecule', 'function': 'Antagonist'}]",
4BVN,adrb1_melga,001_001_003_007,Meleagris gallopavo,A,2.1,2014-04-02,X-ray diffraction,Inactive,-2.09,https://dx.doi.org/10.1371/JOURNAL.PONE.0092727,"[{'name': '(S)-Cyanopindolol', 'type': 'small molecule', 'function': 'Antagonist'}]",
7BB6,v2r_human,001_002_032_003,Homo sapiens,A,4.2,2021-06-02,Electron microscopy,Active,6.96,https://dx.doi.org/10.1126/SCIADV.ABG5628,"[{'name': 'Argipressin', 'type': 'peptide', 'function': 'Agonist'}]","{'type': 'G protein', 'data': {'entity1': {'entry_name': 'gnas2_human', 'chain': 'E'}, 'entity2': {'entry_name': 'gbb1_human', 'chain': 'C'}, 'entity3': {'entry_name': 'gbg2_human', 'chain': 'F'}}}"
6LN2,glp1r_human,002_001_003_003,Homo sapiens,A,3.2,2020-03-18,X-ray diffraction,Inactive,-4.85,https://dx.doi.org/10.1038/S41467-020-14934-5,"[{'name': 'PF-06372222', 'type': 'small molecule', 'function': 'NAM'}]",
3C9M,opsd_bovin,001_009_001_001,Bos taurus,A,3.4,2008-08-05,X-ray diffraction,Inactive,-0.2,https://dx.doi.org/10.1107/S0907444908017162,"[{'name': 'Retinal (11-cis)', 'type': 'small molecule', 'function': 'Inverse agonist'}]",
5WQC,ox2r_human,001_002_023_002,Homo sapiens,A,1.96,2017-11-29,X-ray diffraction,Inactive,-0.99,https://dx.doi.org/10.1016/J.STR.2017.11.005,"[{'name': 'EMPA', 'type': 'small molecule', 'function': 'Antagonist'}]",
6PH7,opsd_bovin,001_009_001_001,Bos taurus,A,2.9,2020-07-01,X-ray diffraction,Active,8.16,,"[{'name': 'Nerol', 'type': 'small molecule', 'function': 'unknown'}]",
6D35,q98sw5_xenla,006_001_001_011,Xenopus laevis,A,3.9,2018-05-23,X-ray diffraction,Active,-2.2,https://dx.doi.org/10.1016/J.CELL.2018.04.029,"[{'name': 'Cholesterol', 'type': 'N/A', 'function': 'Agonist'}]",
5K2D,aa2ar_human,001_006_001_002,Homo sapiens,A,1.9,2016-09-21,X-ray diffraction,Inactive,-0.71,https://dx.doi.org/10.1126/SCIADV.1600292,"[{'name': 'ZM241385', 'type': 'small molecule', 'function': 'Antagonist'}]",
6KK1,glp1r_human,002_001_003_003,Homo sapiens,B,2.8,2019-11-13,X-ray diffraction,Inactive,-5.01,https://dx.doi.org/10.1107/S2052252519013496,"[{'name': 'PF-06372222', 'type': 'small molecule', 'function': 'NAM'}]",
6WW2,fzd5_human,006_001_001_005,Homo sapiens,R,3.7,2020-08-19,Electron microscopy,Inactive,-4.57,https://dx.doi.org/10.7554/ELIFE.58464,"[{'name': 'Apo (no ligand)', 'type': 'none', 'function': 'Apo (no ligand)'}]",
4QIN,smo_human,006_001_001_011,Homo sapiens,A,2.6,2014-07-23,X-ray diffraction,Inactive,-2.38,https://dx.doi.org/10.1038/NCOMMS5355,"[{'name': 'SAG1.5', 'type': 'small molecule', 'function': 'Agonist'}]",
6GT3,aa2ar_human,001_006_001_002,Homo sapiens,A,2.0,2019-06-26,X-ray diffraction,Inactive,-0.83,,"[{'name': 'AZD4635', 'type': 'small molecule', 'function': 'Antagonist'}]",
7CA3,gabr2_human,004_002_001_003,Homo sapiens,B,4.5,2020-11-11,Electron microscopy,Inactive,3.51,https://dx.doi.org/10.1016/J.JMB.2020.09.023,"[{'name': 'BHFF', 'type': 'small molecule', 'function': 'PAM'}]",
7E9G,grm2_human,004_002_002_002,Homo sapiens,R,3.5,2021-06-23,Electron microscopy,Active,5.15,https://dx.doi.org/10.1038/S41586-021-03495-2,"[{'name': '1-butyl-3-chloranyl-4-(4-phenylpiperidin-1-yl)pyridin-2-one', 'type': 'small molecule', 'function': 'PAM'}, {'name': 'Eglumetad', 'type': 'small molecule', 'function': 'Agonist'}]","{'type': 'G protein', 'data': {'entity1': {'entry_name': 'gnai1_human', 'chain': 'A'}, 'entity2': {'entry_name': 'gbb1_human', 'chain': 'B'}, 'entity3': {'entry_name': 'gbg2_human', 'chain': 'C'}}}"
4L6R,glr_human,002_001_003_005,Homo sapiens,A,3.3,2013-07-24,X-ray diffraction,Inactive,-4.62,https://dx.doi.org/10.1038/NATURE12393,[],
5OLV,aa2ar_human,001_006_001_002,Homo sapiens,A,2.0,2018-01-17,X-ray diffraction,Inactive,-0.56,https://dx.doi.org/10.1038/S41598-017-18570-W,"[{'name': 'CHEMBL1671936', 'type': 'small molecule', 'function': 'Antagonist'}]",
5L7I,smo_human,006_001_001_011,Homo sapiens,B,3.3,2016-07-20,X-ray diffraction,Inactive,-2.33,https://dx.doi.org/10.1038/NATURE18934,"[{'name': 'Vismodegib', 'type': 'small molecule', 'function': 'Antagonist'}]",
6ME4,mtr1a_human,001_005_001_001,Homo sapiens,A,3.2,2019-04-24,X-ray diffraction,Inactive,-1.28,https://dx.doi.org/10.1038/S41586-019-1141-3,"[{'name': '2-Iodomelatonin', 'type': 'small molecule', 'function': 'Agonist'}]",
7BTS,adrb1_human,001_001_003_007,Homo sapiens,A,3.13,2020-12-02,X-ray diffraction,Active,10.05,https://dx.doi.org/10.1038/S41422-020-00424-2,"[{'name': 'Epinephrine', 'type': 'small molecule', 'function': 'Agonist'}]",
5V57,smo_human,006_001_001_011,Homo sapiens,A,3.0,2017-05-24,X-ray diffraction,Inactive,-1.67,https://dx.doi.org/10.1038/NCOMMS15383,"[{'name': 'N-methyl-N-[1-[4-(2-methylpyrazol-3-yl)phthalazin-1-yl]piperidin-4-yl]-4-nitro-2-(trifluoromethyl)benzamide', 'type': 'small molecule', 'function': 'Antagonist'}]",
7MTR,grm2_human,004_002_002_002,Homo sapiens,A,3.3,2021-07-07,Electron microscopy,Active,6.74,https://dx.doi.org/10.1038/S41586-021-03680-3,"[{'name': 'Glutamic acid', 'type': 'amino acid', 'function': 'Agonist'}, {'name': '2-methoxy-6-propyl-N-(2-{4-[(1H-tetrazol-5-yl)methoxy]phenyl}ethyl)thieno[2,3-d]pyrimidin-4-amine', 'type': 'small molecule', 'function': 'Ago-PAM'}]",
4LDL,adrb2_human,001_001_003_008,Homo sapiens,A,3.1,2013-09-25,X-ray diffraction,Active,9.26,https://dx.doi.org/10.1038/NATURE12572,"[{'name': 'Hydroxybenzylisoproterenol', 'type': 'small molecule', 'function': 'Agonist'}]",
4A4M,opsd_bovin,001_009_001_001,Bos taurus,A,3.3,2012-01-25,X-ray diffraction,Active,8.2,https://dx.doi.org/10.1073/PNAS.1114089108,"[{'name': 'Retinal (all-trans)', 'type': 'small molecule', 'function': 'Agonist'}]",
6UUN,calrl_human,002_001_001_005,Homo sapiens,R,3.0,2020-03-25,Electron microscopy,Active,6.39,https://dx.doi.org/10.1021/ACSPTSCI.9B00080,"[{'name': 'adrenomedullin', 'type': 'peptide', 'function': 'Agonist'}]","{'type': 'G protein', 'data': {'entity1': {'entry_name': 'gnas2_human', 'chain': 'A'}, 'entity2': {'entry_name': 'gbb1_human', 'chain': 'B'}, 'entity3': {'entry_name': 'gbg2_human', 'chain': 'G'}}}"
6FK6,opsd_bovin,001_009_001_001,Bos taurus,A,2.36,2018-04-04,X-ray diffraction,Active,7.85,https://dx.doi.org/10.1073/PNAS.1718084115,"[{'name': ""(2~{S})-2-(4-chlorophenyl)-3-methyl-1-spiro[1,3-benzodioxole-2,4'-piperidine]-1'-yl-butan-1-one"", 'type': 'small molecule', 'function': 'Agonist'}]",
6TPN,ox2r_human,001_002_023_002,Homo sapiens,A,2.61,2020-01-01,X-ray diffraction,Inactive,-0.89,https://dx.doi.org/10.1021/ACS.JMEDCHEM.9B01787,"[{'name': 'HTL6641', 'type': 'small molecule', 'function': 'Antagonist'}]",
6ME6,mtr1b_human,001_005_001_002,Homo sapiens,B,2.8,2019-04-24,X-ray diffraction,Inactive,-0.79,https://dx.doi.org/10.1038/S41586-019-1144-0,"[{'name': '2-phenylmelatonin', 'type': 'small molecule', 'function': 'Agonist'}]",
6X1A,glp1r_human,002_001_003_003,Homo sapiens,R,2.5,2020-09-09,Electron microscopy,Active,5.9,https://dx.doi.org/10.1101/2020.08.16.252585,"[{'name': 'PF-06882961', 'type': 'small molecule', 'function': 'Agonist'}]","{'type': 'G protein', 'data': {'entity1': {'entry_name': 'gnas2_human', 'chain': 'A'}, 'entity2': {'entry_name': 'gbb1_human', 'chain': 'B'}, 'entity3': {'entry_name': 'gbg2_human', 'chain': 'G'}}}"
7O7F,ccr5_human,001_003_002_005,Homo sapiens,C,3.15,2021-06-30,Electron microscopy,Active,9.77,https://dx.doi.org/10.1126/SCIADV.ABG8685,"[{'name': 'CCL5', 'type': 'protein', 'function': 'Agonist'}]","{'type': 'G protein', 'data': {'entity1': {'entry_name': 'gnai1_human', 'chain': 'A'}, 'entity2': {'entry_name': 'gbb1_bovin', 'chain': 'B'}, 'entity3': {'entry_name': 'gbg2_bovin', 'chain': 'G'}}}"
6PT0,cnr2_human,001_004_005_002,Homo sapiens,R,3.2,2020-02-12,Electron microscopy,Active,6.84,https://dx.doi.org/10.1016/J.CELL.2020.01.007,"[{'name': 'Win 55212-2', 'type': 'small molecule', 'function': 'Agonist'}]","{'type': 'G protein', 'data': {'entity1': {'entry_name': 'gnai1_human', 'chain': 'A'}, 'entity2': {'entry_name': 'gbb1_human', 'chain': 'B'}, 'entity3': {'entry_name': 'gbg2_human', 'chain': 'C'}}}"
4Z36,lpar1_human,001_004_003_001,Homo sapiens,A,2.9,2015-06-03,X-ray diffraction,Inactive,-1.22,https://dx.doi.org/10.1016/J.CELL.2015.06.002,"[{'name': 'ONO-3080573', 'type': 'small molecule', 'function': 'Antagonist'}]",
6XBJ,smo_human,006_001_001_011,Homo sapiens,R,3.88,2020-09-30,Electron microscopy,Active,5.6,https://dx.doi.org/10.1038/S41589-020-0646-2,"[{'name': 'Cholesterol', 'type': 'N/A', 'function': 'Agonist'}]","{'type': 'G protein', 'data': {'entity1': {'entry_name': 'gnai1_human', 'chain': 'A'}, 'entity2': {'entry_name': 'gbb1_human', 'chain': 'B'}, 'entity3': {'entry_name': 'gbg2_human', 'chain': 'G'}}}"
7L1U,ox2r_human,001_002_023_002,Homo sapiens,R,3.2,2021-02-10,Electron microscopy,Active,7.0,https://dx.doi.org/10.1038/S41467-021-21087-6,"[{'name': 'orexin-A', 'type': 'peptide', 'function': 'Agonist'}]","{'type': 'G protein', 'data': {'entity1': {'entry_name': 'gnas2_human', 'chain': 'A'}, 'entity2': {'entry_name': 'gbb1_human', 'chain': 'B'}, 'entity3': {'entry_name': 'gbg2_human', 'chain': 'C'}}}"
7LCI,glp1r_human,002_001_003_003,Homo sapiens,R,2.9,2021-01-20,Electron microscopy,Active,6.78,,"[{'name': 'PF-06882961', 'type': 'small molecule', 'function': 'Agonist'}]","{'type': 'G protein', 'data': {'entity1': {'entry_name': 'gnas2_human', 'chain': 'A'}, 'entity2': {'entry_name': 'gbb1_human', 'chain': 'B'}, 'entity3': {'entry_name': 'gbg2_human', 'chain': 'G'}}}"
6PB0,crfr1_human,002_001_002_001,Homo sapiens,R,3.0,2020-02-12,Electron microscopy,Active,6.44,https://dx.doi.org/10.1016/J.MOLCEL.2020.01.013,"[{'name': 'Urocortin', 'type': 'peptide', 'function': 'Agonist'}]","{'type': 'G protein', 'data': {'entity1': {'entry_name': 'gnas2_human', 'chain': 'A'}, 'entity2': {'entry_name': 'gbb1_human', 'chain': 'B'}, 'entity3': {'entry_name': 'gbg2_human', 'chain': 'G'}}}"
7E14,glp1r_human,002_001_003_003,Homo sapiens,R,2.9,2021-07-07,Electron microscopy,Active,6.89,https://dx.doi.org/10.1038/S41467-021-24058-Z,"[{'name': 'N-Tert-butyl-6,7-dichloroquinoxalin-2-amine', 'type': 'small molecule', 'function': 'Ago-PAM'}, {'name': '3-[(1S,2S)-1-(5-[(4S)-2,2-dimethyloxan-4-yl]-2-{(4S)-2-(4-fluoro-3,5-dimethylphenyl)-3-[3-(4-fluoro-1-methyl-1H-indazol-5-yl)-2-oxo-2,3-dihydro-1H-imidazol-1-yl]-4-methyl-2,4,6,7-tetrahydro-5H-pyrazolo[4,3-c]pyridine-5-carbonyl}-1H-indol-1-yl)-2-methylcyclopropyl]-1,2,4-oxadiazol-5(4H)-one', 'type': 'small molecule', 'function': 'Agonist'}]","{'type': 'G protein', 'data': {'entity1': {'entry_name': 'gnas2_human', 'chain': 'A'}, 'entity2': {'entry_name': 'gbb1_bovin', 'chain': 'B'}, 'entity3': {'entry_name': 'gbg2_mouse', 'chain': 'G'}}}"
4QIM,smo_human,006_001_001_011,Homo sapiens,A,2.61,2014-07-23,X-ray diffraction,Inactive,-2.23,https://dx.doi.org/10.1038/NCOMMS5355,"[{'name': 'AntaXV', 'type': 'small molecule', 'function': 'Antagonist'}]",
7DTW,casr_human,004_001_001_001,Homo sapiens,A,4.5,2021-03-10,Electron microscopy,Inactive,2.94,https://dx.doi.org/10.1038/S41422-021-00474-0,"[{'name': 'Apo (no ligand)', 'type': 'none', 'function': 'Apo (no ligand)'}]",
7D3S,sctr_human,002_001_003_006,Homo sapiens,R,2.9,2020-11-04,Electron microscopy,Active,6.24,https://dx.doi.org/10.1016/J.BBRC.2020.08.042,"[{'name': 'secretin', 'type': 'peptide', 'function': 'Agonist'}]","{'type': 'G protein', 'data': {'entity1': {'entry_name': 'gnas2_human', 'chain': 'A'}, 'entity2': {'entry_name': 'gbb1_rat', 'chain': 'B'}, 'entity3': {'entry_name': 'gbg2_bovin', 'chain': 'G'}}}"
6M1I,pacr_human,002_001_005_001,Homo sapiens,A,3.5,2020-03-11,Electron microscopy,Active,6.87,https://dx.doi.org/10.1038/S41422-020-0280-2,"[{'name': 'PACAP', 'type': 'peptide', 'function': 'Agonist'}]","{'type': 'G protein', 'data': {'entity1': {'entry_name': 'gnas2_human', 'chain': 'F'}, 'entity2': {'entry_name': 'gbb1_human', 'chain': 'E'}, 'entity3': {'entry_name': 'gbg2_human', 'chain': 'D'}}}"
6OS2,agtr1_human,001_002_001_001,Homo sapiens,A,2.7,2020-02-19,X-ray diffraction,Active,8.15,https://dx.doi.org/10.1126/SCIENCE.AAY9813,"[{'name': 'TRV026', 'type': 'peptide', 'function': 'Agonist'}]",
5V54,5ht1b_human,001_001_001_002,Homo sapiens,A,3.9,2018-02-07,X-ray diffraction,Inactive,3.69,,"[{'name': 'CHEMBL428892', 'type': 'small molecule', 'function': 'Antagonist'}]",
5ZKB,acm2_human,001_001_002_002,Homo sapiens,A,2.95,2018-11-21,X-ray diffraction,Inactive,0.97,https://dx.doi.org/10.1038/S41589-018-0152-Y,"[{'name': 'AF-DX 384', 'type': 'small molecule', 'function': 'Antagonist'}]",
6J21,nk1r_human,001_002_029_001,Homo sapiens,A,3.2,2019-03-06,X-ray diffraction,Inactive,0.35,https://dx.doi.org/10.1038/S41467-019-08568-5,"[{'name': 'Aprepitant', 'type': 'small molecule', 'function': 'Antagonist'}]",
6N51,grm5_human,004_002_002_005,Homo sapiens,B,4.0,2019-01-23,Electron microscopy,Intermediate,5.53,https://dx.doi.org/10.1038/S41586-019-0881-4,"[{'name': 'Quisqualic acid', 'type': 'small molecule', 'function': 'Agonist'}]",
6FKB,opsd_bovin,001_009_001_001,Bos taurus,A,3.03,2018-04-04,X-ray diffraction,Active,7.93,https://dx.doi.org/10.1073/PNAS.1718084115,"[{'name': ""2-(4-chlorophenyl)-1-spiro[1,3-benzodioxole-2,4'-piperidine]-1'-yl-ethanone"", 'type': 'small molecule', 'function': 'Agonist'}]",
5D5A,adrb2_human,001_001_003_008,Homo sapiens,A,2.48,2016-01-13,X-ray diffraction,Inactive,-1.14,https://dx.doi.org/10.1107/S2059798315021683,"[{'name': 'Carazolol', 'type': 'small molecule', 'function': 'Inverse agonist'}]",
4XT1,us28_hcmva,001_012_001_001,Human cytomegalovirus,A,2.89,2015-03-04,X-ray diffraction,Active,9.02,https://dx.doi.org/10.1126/SCIENCE.AAA5026,"[{'name': 'Fractalkine', 'type': 'protein', 'function': 'Agonist (partial)'}]",
4EIY,aa2ar_human,001_006_001_002,Homo sapiens,A,1.8,2012-07-25,X-ray diffraction,Inactive,-0.55,https://dx.doi.org/10.1126/SCIENCE.1219218,"[{'name': 'ZM241385', 'type': 'small molecule', 'function': 'Antagonist'}]",
2ZIY,opsd_todpa,001_009_001_001,Todarodes pacificus,A,3.7,2008-05-06,X-ray diffraction,Inactive,-0.28,https://dx.doi.org/10.1074/JBC.C800040200,"[{'name': 'Retinal (11-cis)', 'type': 'small molecule', 'function': 'Inverse agonist'}]",
5D5B,adrb2_human,001_001_003_008,Homo sapiens,A,3.8,2016-01-13,X-ray diffraction,Inactive,-1.06,https://dx.doi.org/10.1107/S2059798315021683,"[{'name': 'Carazolol', 'type': 'small molecule', 'function': 'Inverse agonist'}]",
6OT0,smo_human,006_001_001_011,Homo sapiens,R,3.9,2019-06-12,Electron microscopy,Active,5.12,https://dx.doi.org/10.1038/S41586-019-1286-0,"[{'name': '24,25-Epoxy-cholesterol', 'type': 'small molecule', 'function': 'Agonist'}]","{'type': 'G protein', 'data': {'entity1': {'entry_name': 'gnai1_human', 'chain': 'A'}, 'entity2': {'entry_name': 'gbb1_human', 'chain': 'B'}, 'entity3': {'entry_name': 'gbg2_human', 'chain': 'G'}}}"
6JZH,aa2ar_human,001_006_001_002,Homo sapiens,A,2.25,2019-10-30,X-ray diffraction,Inactive,-0.64,https://dx.doi.org/10.1107/S1600576719012846,"[{'name': 'ZM241385', 'type': 'small molecule', 'function': 'Antagonist'}]",
5WKT,opsd_bovin,001_009_001_001,Bos taurus,A,3.2,2017-12-13,X-ray diffraction,Active,7.98,https://dx.doi.org/10.1038/NPROT.2017.135,"[{'name': 'B-Octylglucoside', 'type': 'small molecule', 'function': 'unknown'}]",
6FKA,opsd_bovin,001_009_001_001,Bos taurus,A,2.7,2018-04-04,X-ray diffraction,Active,7.99,https://dx.doi.org/10.1073/PNAS.1718084115,"[{'name': ""(2~{S})-2-(3,4-dichlorophenyl)-3-methyl-1-spiro[1,3-benzodioxole-2,4'-piperidine]-1'-yl-butan-1-one"", 'type': 'small molecule', 'function': 'Agonist'}]",
